期別,開獎日,銷售金額,獎金總額,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號,頭獎注數,頭獎獎金,頭獎累至次期獎金,貳獎注數,參獎注數,肆獎注數,伍獎注數,陸獎注數,柒獎注數,普獎注數,貳獎獎金,參獎獎金,肆獎獎金,伍獎獎金,陸獎獎金,柒獎獎金,普獎獎金,貳獎累至次期獎金,參獎累至次期獎金,肆獎累至次期獎金
103000010,103/01/31,"670,393,200","510,859,037",38,17,23,49,48,27,19,0,0,"298,161,999",4,213,529,"11,575","15,594",0,"210,309","6,052,469","113,661","25,425","4,415","1,000",0,400,0,0,0
103000009,103/01/30,"608,966,100","334,931,355",9,22,49,48,45,44,8,0,0,"142,142,777",6,194,499,"10,456","14,626",0,"188,079","3,676,106","113,694","24,556","4,453","1,000",0,400,0,0,0
103000008,103/01/28,"157,096,650","218,922,795",2,30,7,26,5,1,24,2,"80,491,735",0,2,78,179,"3,905","4,402",0,"59,732","5,234,383","67,048","16,231","2,827","1,000",0,400,0,0,0
103000007,103/01/24,"143,544,500","172,467,560",4,20,29,41,45,1,36,0,0,"127,280,624",0,41,127,"2,236","3,275",0,"43,658",0,"127,780","22,917","4,946","1,000",0,400,"5,239,014",0,0
103000006,103/01/21,"132,900,400","141,270,573",22,43,12,44,38,15,9,0,0,"93,518,085",1,57,116,"2,254","3,590",0,"42,839","9,744,912","82,688","22,573","4,414","1,000",0,400,0,0,0
103000005,103/01/17,"141,157,800","108,354,326",20,29,13,15,26,36,37,0,0,"63,143,706",0,44,122,"2,579","3,260",0,"46,174",0,"114,355","22,912","4,118","1,000",0,400,"5,031,647",0,0
103000004,103/01/14,"128,619,400","70,740,670",11,49,2,45,41,21,26,0,0,"30,717,536",2,30,86,"1,996","2,747",0,"37,581","2,383,257","158,883","30,791","5,041","1,000",0,400,0,0,0
103000003,103/01/10,"140,617,450","149,849,635",7,19,17,30,37,32,3,1,"100,000,000",0,1,58,148,"2,605","4,097",0,"44,905","9,548,037","85,780","18,675","4,031","1,000",0,400,0,0,0
103000002,103/01/07,"132,190,750","106,318,850",1,7,25,36,21,35,39,0,0,"63,082,990",0,37,117,"2,622","3,305",0,"46,478",0,"123,588","21,713","3,681","1,000",0,400,"4,572,784",0,0
103000001,103/01/03,"146,792,850","80,736,067",11,35,21,18,37,20,8,0,0,"33,613,938",2,36,128,"2,682","3,829",0,"47,380","2,607,978","144,887","22,638","4,105","1,000",0,400,0,0,0
103000021,103/02/28,"116,192,300","63,905,765",17,24,13,18,32,28,37,0,0,"26,696,451",0,32,129,"1,987","2,907",0,"37,426",0,"129,454","17,840","4,401","1,000",0,400,"4,142,552",0,0
103000020,103/02/25,"147,445,850","228,147,635",13,9,5,3,46,12,4,1,"164,469,923",0,1,58,159,"2,860","4,223",0,"51,886","20,181,431","87,079","17,647","3,728","1,000",0,400,0,0,0
103000019,103/02/21,"140,264,750","187,760,475",11,12,23,40,28,48,9,0,0,"131,921,590",0,45,138,"2,517","4,158",0,"46,508",0,"108,768","19,704","4,105","1,000",0,400,"15,130,828",0,0
103000018,103/02/18,"137,949,100","148,671,664",47,19,6,26,32,20,35,0,0,"100,378,632",0,38,100,"2,176","3,053",0,"40,946",0,"133,675","28,220","4,928","1,000",0,400,"10,236,231",0,0
103000017,103/02/14,"144,576,550","113,928,909",24,10,48,33,20,19,1,0,0,"67,643,082",0,55,127,"2,431","3,783",0,"46,097",0,"93,755","22,557","4,478","1,000",0,400,"5,156,577",0,0
103000016,103/02/11,"146,964,550","89,513,183",15,31,21,6,44,22,41,0,0,"34,411,807",1,37,104,"2,414","3,133",0,"45,917","14,022,444","144,317","28,524","4,669","1,000",0,400,0,0,0
103000015,103/02/07,"260,755,350","330,079,044",22,5,28,11,21,12,25,1,"242,618,662",0,0,128,315,"6,261","7,702",0,"98,098",0,"67,833","15,313","2,927","1,000",0,400,"8,682,681",0,0
103000014,103/02/04,"382,041,100","310,122,605",19,46,32,12,42,8,28,0,0,"186,663,602",5,121,382,"6,916","10,465",0,"125,594","2,689,560","111,138","19,557","4,104","1,000",0,400,0,0,0
103000013,103/02/03,"312,885,200","201,322,534",2,16,27,30,17,1,48,2,"50,000,000",0,3,109,249,"6,033","7,289",0,"106,976","3,660,223","100,740","24,499","3,842","1,000",0,400,0,0,0
103000012,103/02/02,"365,275,250","216,578,907",14,45,3,24,19,13,5,1,"100,000,000",0,3,101,307,"6,329","8,977",0,"116,352","4,361,507","129,549","23,678","4,364","1,000",0,400,0,0,0
103000011,103/02/01,"673,933,050","668,825,176",36,37,13,19,9,6,27,2,"224,819,074",0,7,239,635,"12,970","17,491",0,"230,016","3,357,845","98,346","20,564","3,825","1,000",0,400,0,0,0
103000029,103/03/28,"112,023,600","165,636,331",9,18,23,36,47,35,41,0,0,"130,089,931",0,46,92,"2,046","2,377",0,"35,734",0,"87,930","24,425","4,173","1,000",0,400,"4,044,814",0,0
103000028,103/03/25,"108,919,250","142,208,910",19,25,47,42,30,23,16,0,0,"104,023,351",3,30,89,"1,814","2,328",0,"33,018","2,669,376","133,111","24,927","4,647","1,000",0,400,0,0,0
103000027,103/03/21,"108,988,100","112,358,847",47,26,46,8,31,18,20,0,0,"78,288,527",0,26,68,"1,691","2,355",0,"32,449",0,"154,415","32,800","5,012","1,000",0,400,"4,014,796",0,0
103000026,103/03/18,"112,906,700","89,150,396",26,40,35,39,12,28,16,0,0,"52,415,392",1,38,107,"2,072","2,749",0,"39,048","3,935,743","103,572","20,434","4,010","1,000",0,400,0,0,0
103000025,103/03/14,"114,016,150","62,708,882",47,8,40,41,27,2,28,0,0,"27,051,711",1,35,91,"1,711","2,638",0,"33,575","4,197,679","119,933","25,626","5,179","1,000",0,400,0,0,0
103000024,103/03/11,"118,655,200","136,735,172",40,20,15,16,13,43,14,1,"100,000,000",0,3,35,96,"1,742","2,561",0,"33,795","1,475,440","126,466","25,615","5,364","1,000",0,400,0,0,0
103000023,103/03/07,"115,346,600","137,113,949",38,26,6,37,18,30,16,1,"100,000,000",0,2,48,106,"2,185","2,893",0,"37,892","2,042,587","85,107","21,410","3,947","1,000",0,400,0,0,0
103000022,103/03/04,"117,888,450","141,547,172",43,8,40,35,37,26,6,1,"100,000,000",0,3,43,75,"2,085","2,643",0,"37,239","2,799,852","99,000","31,533","4,310","1,000",0,400,0,0,0
103000038,103/04/29,"99,631,300","78,198,092",2,46,9,44,30,27,22,0,0,"47,021,617",4,36,83,"1,538","2,301",0,"29,427","916,321","101,813","24,533","5,031","1,000",0,400,0,0,0
103000037,103/04/25,"100,622,800","55,342,540",46,24,34,4,38,35,30,0,0,"23,400,877",1,33,80,"1,696","2,151",0,"32,113","3,631,170","110,035","25,216","4,519","1,000",0,400,0,0,0
103000036,103/04/22,"100,250,000","140,267,972",18,37,20,11,12,15,42,1,"100,000,000",0,1,36,89,"2,064","2,263",0,"36,232","10,846,211","95,954","21,562","3,533","1,000",0,400,0,0,0
103000035,103/04/18,"103,283,950","60,388,963",8,48,15,40,9,44,24,0,0,"24,547,323",0,29,75,"1,636","2,286",0,"30,493",0,"131,347","28,215","4,915","1,000",0,400,"7,391,858",0,0
103000034,103/04/15,"103,966,900","134,092,694",26,44,24,8,35,5,41,2,"50,000,000",0,0,42,66,"2,185","2,461",0,"37,280",0,"85,304","30,158","3,461","1,000",0,400,"3,582,791",0,0
103000033,103/04/11,"108,775,850","137,646,174",1,3,17,9,12,4,15,1,"100,000,000",0,3,85,153,"3,069","3,468",0,"45,291","1,147,269","40,491","12,497","2,367","1,000",0,400,0,0,0
103000032,103/04/08,"105,973,250","81,210,878",28,27,17,1,45,14,11,0,0,"46,129,005",3,45,133,"2,121","3,355",0,"37,311","1,200,176","80,011","15,039","3,583","1,000",0,400,0,0,0
103000031,103/04/04,"99,116,150","62,761,237",8,24,35,37,41,47,23,0,0,"22,925,591",3,32,108,"1,769","2,649",0,"30,845","3,934,924","111,169","18,299","4,245","1,000",0,400,0,0,0
103000030,103/04/01,"112,380,550","195,944,047",46,18,29,30,47,22,6,1,"157,172,974",0,0,29,87,"1,684","2,524",0,"31,476",0,"144,915","26,836","5,268","1,000",0,400,"8,247,355",0,0
103000047,103/05/30,"183,799,350","423,450,647",21,9,17,35,24,30,15,1,"362,632,865",0,4,97,230,"4,085","5,157",0,"66,246","1,562,270","64,423","15,094","3,229","1,000",0,400,0,0,0
103000046,103/05/27,"143,587,750","272,577,912",26,19,23,10,39,32,16,0,0,"222,361,005",2,59,145,"2,751","3,776",0,"49,199","4,220,238","84,687","19,144","3,834","1,000",0,400,0,0,0
103000045,103/05/23,"96,964,050","121,297,042",30,11,22,46,17,27,15,0,0,"90,160,762",0,22,71,"1,778","2,440",0,"31,562",0,"156,540","26,947","4,089","1,000",0,400,"3,443,888",0,0
